,Text
1,@kunalb11 I’m an alien
2,@ID_AA_Carmack Ray tracing on Cyberpunk with HDR is next-level. Have you tried it?
3,@joerogan @Spotify Great interview!
4,@gtera27 Doge is underestimated
5,@teslacn Congratulations Tesla China for amazing execution last year. Now on to the next for even more!!
6,Happy New Year of the Ox! https://t.co/9WFKMYu2oj
7,"Frodo was the underdoge,
All thought he would fail,
Himself most of all. https://t.co/zGxJFDzzrM"
8,@OwenSparks_ @flcnhvy @anonyx10 Haha thanks :)
9,@flcnhvy @anonyx10 Indeed! Tweets definitely do not represent real-world time allocation.
10,The most entertaining outcome is the most likely
11,@GiveDirectly Just sent some
12,Just agree to do Clubhouse with @kanyewest
13,https://t.co/3rWE9uHSTS
14,@geoffkeighley @UnrealEngine It’s getting real
15,"Bought some Dogecoin for lil X, so he can be a toddler hodler"
16,"@JoshManMode He definitely has issues, but the sentencing seems a bit high"
17,@freewalletorg Thanks for fixing
18,@freewalletorg Please unlock my account
19,@AstroJordy <U+0001F923><U+0001F923>
20,This is true power haha https://t.co/Fc9uhQSd7O
21,@freewalletorg Any crypto wallet that won’t give you your private keys should be avoided at all costs
22,@freewalletorg Your app sucks
23,RT @SpaceX: NASA has selected Falcon Heavy to launch the first two elements of the lunar Gateway together on one mission! https://t.co/3pWt…
24,@ajtourville Yes
25,"@BLKMDL3 @RationalEtienne @Adamklotz_ Once we can predict cash flow reasonably well, Starlink will IPO"
26,"@RationalEtienne @Adamklotz_ Starlink is a staggeringly difficult technical &amp; economic endeavor. However, if we don… https://t.co/9Z8Ac6skqx"
27,@RationalEtienne @Adamklotz_ SpaceX needs to pass through a deep chasm of negative cash flow over the next year or… https://t.co/7J1c92hdjl
28,"@ID_AA_Carmack Lowest cost per ton of carbon sequestered, net of value of any product made. 

Must be scalable to g… https://t.co/XMyI7qWSgw"
29,@Adamklotz_ It’s meant to be the same price in all countries. Only difference should be taxes &amp; shipping.
30,"@tobyliiiiiiiiii This is intended for Earth, but there may be some ideas that apply to Mars too"
31,@CryptoShrikar @CoinDesk @Tesla @Dan_Z_Palmer <U+0001F923><U+0001F923>
32,XPrize team will manage the $100M carbon capture prize https://t.co/fSw5IanL0r
33,"@SRuhle Everyone at Tesla receives stock. 

My comp is all stock/options, which I do not take off the table. 

That’s what you’re missing."
34,Back to work I go …
35,@CapybaraSurfer @MattWallace888 Does seem a bit high
36,"@itsALLrisky Doge appears to be inflationary, but is not meaningfully so (fixed # of coins per unit time), whereas… https://t.co/4UH4rARC6T"
37,@MichaelGalanin @kevinmgill Wow
38,"@Erdayastronaut @michaelhodapp_ 1. Orbital launch tower that can stack
2. Enough Raptors for orbit booster
3. Improve ship &amp; booster mass"
39,@michaelhodapp_ Back to work tonight!
40,"Ð is for Ðogecoin! Instructional video.
https://t.co/UEEocOfcTb"
41,The people have spoken … https://t.co/x41oVMzTGo
42,@Nivetha_7_42 @lexfridman So cute <U+0001F495>
43,"@UniverCurious Extremely misleading image, as doesn’t reflect true time cost to people or rain &amp; pain"
44,<U+0001F3B6> Who let the Doge out <U+0001F3B6>
45,Hodl the rainforests!!
46,So … it’s finally come to this … https://t.co/Gf0Rg2QOaF
47,@itsALLrisky It’s the most fun crypto!
48,@JoshRoomsburg @SnoopDogg @genesimmons Its simplicity is its genius
49,@astro_g_dogg @SpaceX Yup
50,@Jbuttermost @Dogecoinrich <U+0001F923><U+0001F923>
51,@wapodavenport True
52,@Dogecoinrich <U+0001F923><U+0001F923>
53,"@flcnhvy @AstroJordy Not that easy. This is two decades of intense work. Have to look at old notes, emails, texts."
54,@AstroJordy Yes
55,Lessons learned
56,Of Earth and Mars
57,Time to tell the story of Tesla &amp; SpaceX
58,@TheOnion Have you read @TheBabylonBee? It’s great!!
59,The Second Last Kingdom https://t.co/Je4EI88HmV
60,@DumDin7 @Grimezsz Haven’t heard that name in years …
61,@Grimezsz Dogecake
62,"YOLT

https://t.co/cnOf9yjpF1"
63,@Kristennetten That’s Damian
64,@Kristennetten Yeah
65,@OwenSparks_ Sure
66,The great thing about restaurants is that you get to hang out with strangers! - SJM
67,The future currency of Earth
68,@redlineshifter Just a scratch
69,Much wow!
70,@RationalEtienne <U+0001F5A4>
71,@wonderofscience Destiny
72,@RenataKonkoly @Teslarati @woodhaus2 Franz was essential
73,"@Erdayastronaut @josh_bickett @ajtourville @SpaceX That said, the ship landing burn has a clear solution. My greate… https://t.co/e5Wikiugkz"
74,"@Adamklotz_ @Erdayastronaut @josh_bickett @ajtourville @SpaceX Will still use hot gas maneuvering (RCS) thrusters,… https://t.co/vsO9h4Ioed"
75,@Erdayastronaut @josh_bickett @ajtourville @SpaceX Higher Isp too
76,"@Erdayastronaut @josh_bickett @ajtourville @SpaceX Intuitively, it would seem so, but turbopump-fed Raptors have mu… https://t.co/lBTG1sIBuC"
77,@brendan2908 @NASASpaceflight Yes
78,RT @SpaceX: Falcon 9 will launch @NASA’s SPHEREx mission – which will collect data on more than 300 million galaxies and explore how the un…
79,RT @SpaceX: Falcon 9 launches 60 Starlink satellites to orbit – mission from pad 39A on deck https://t.co/71cuCBgPNX
80,@mikko @Darudevil It’s true!
81,"@josh_bickett @ajtourville @Erdayastronaut @SpaceX Yeah. By default, engine with least lever arm would shut down if all 3 are good."
82,"@ajtourville @Erdayastronaut @SpaceX Yes, but engines have a min throttle point where there is flameout risk, so la… https://t.co/ThniYsSnWn"
83,@Adamklotz_ @Erdayastronaut @SpaceX Yes
84,"@Erdayastronaut @SpaceX It was foolish of us not to start 3 engines &amp; immediately shut down 1, as 2 are needed to land"
85,"I am become meme,
Destroyer of shorts"
86,@commander_cruz Might actually happen
87,Sandstorm is a masterpiece
88,@MadOverlord We were too dumb
89,"Next time, we try pull *up* method https://t.co/J1M7WHLRDR"
90,Low-key Loki
91,"No highs, no lows, only Doge"
92,No need to be a gigachad to own
93,Dogecoin is the people’s crypto
94,ur welcome https://t.co/e2KF57KLxb
95,@HuobiGlobal The most entertaining outcome is the most likely
96,Doge
97,https://t.co/vviUzWhodT
98,@Erdayastronaut High seas &amp; wind
99,This was a tough one https://t.co/beY7peFpCj
100,RT @SpaceX: Watch Falcon 9 launch 60 Starlink satellites <U+2192> https://t.co/bJFjLCzWdK  https://t.co/Ln95rEesbW
101,Off Twitter for a while
102,It will be filled with graffiti art
103,@eiraum <U+043C><U+044B> <U+0441><U+0434><U+0435><U+043B><U+0430><U+0435><U+043C>
104,Giga Berlin progress https://t.co/ekpG5qcbUi
105,@hamoon__ @neuralink Neuralink is working super hard to ensure implant safety &amp; is in close communication with the… https://t.co/Yky1llPUMd
106,RT @SpaceX: This mission enables access for everyday people who dream of going to space
107,RT @SpaceX: Announcing the first commercial astronaut mission to orbit Earth aboard Dragon <U+2192> https://t.co/MbESvnakAD https://t.co/ukLsjFfRjk
108,"If you’ve worked on advanced wearables, phones or robots, those skills are needed @neuralink"
109,Feels weird helping make (hopefully good version of) Cyberpunk come true
110,"Please consider working at Neuralink!

Short-term: solve brain/spine injuries
Long-term: human/AI symbiosis 

Latte… https://t.co/qrC6aLAdS2"
111,https://t.co/XcCoKOjYlt
112,On Clubhouse tonight at 10pm LA time
113,@Erdayastronaut @TJ_Cooney @lrocket @SpaceX @FelixSchlang @MarcusHouseGame Tom has some great stories about experim… https://t.co/tEEzkIwcmK
114,RT @Commercial_Crew: Launch Alert <U+0001F680> @NASA and @SpaceX are targeting no earlier than April 20 for the launch of the second crew rotation mis…
115,"@Erdayastronaut @TJ_Cooney @lrocket @SpaceX @FelixSchlang @MarcusHouseGame He became a big fan of methane, but was… https://t.co/mdv0vDEFyC"
116,@TJ_Cooney @lrocket @SpaceX @FelixSchlang @MarcusHouseGame That sounds correct. Tom certainly deserves a lot of cre… https://t.co/hDRI4HfA8b
117,@TJ_Cooney @lrocket @SpaceX @FelixSchlang @MarcusHouseGame Tom is great &amp; was instrumental in developing early vers… https://t.co/ULxTClM1g6
118,"@ErcXspace @smvllstvrs T/W will be ~1.5, so it will accelerate unusually fast. High T/W is important for reusable v… https://t.co/u1z2CPRRQJ"
119,@we5dogg @teslaownersSV No escaping that for me
120,@TheBabylonBee Read the whole article <U+0001F923><U+0001F923>
121,"Warm, sunny day &amp; snowy mountains https://t.co/2k8psyqU4J"
122,What a beautiful day in LA https://t.co/EsCJTbzO9D
123,"@JayLav_ Yeah, Dr Frankensteen https://t.co/WDJ9K2UJqK"
124,@YounesH1989 I never used this guy. He gave a talk at SpaceX once.
125,@flcnhvy Only Halo
126,https://t.co/pyRCFE97Xp
127,@Carnage4Life I sure hope that’s not true at Tesla or SpaceX!
128,"@thejackbeyer @NASASpaceflight Cryoproof, then install engines"
129,Starship SN9 &amp; SN10 https://t.co/urtPJn7amo
130,"In retrospect, it was inevitable"
131,@RGVaerialphotos Great shot
132,"@its_menieb Live by the sword, die by the sword"
133,@lexfridman Entropy
134,@teslaownersSV @GameSpot Buy &amp; hold companies that make goods &amp; produce services you love
135,@engineers_feed Earth is small &amp; we are smaller still https://t.co/gTOhcLGJ82
136,@GameSpot <U+0001F440>
137,"With Cyberpunk, even the hotfixes literally have hotfixes, but … great game"
138,https://t.co/a6kmk0PEgM
139,@DocumentingBTC The dollar is shorting itself
140,@westcoastbill Indeed
141,@JohnnaCrider1 @Iupsychdoctor @AOC @RobinhoodApp Shopify is great too. SpaceX used them.
142,@ohqwix @BnnJ6bCghvzQxLb <U+0001F923><U+0001F923>
143,@wimgrommen @WSBChairman Indeed. The economy — making useful products &amp; providing great services — is what actually matters.
144,"@Iupsychdoctor @AOC @RobinhoodApp TANSTAAFL. Would be better to have small fees than no fees, as latter makes Robin… https://t.co/czRhLolYVO"
145,"Here come the shorty apologists
Give them no respect
Get Shorty"
146,"u can’t sell houses u don’t own
u can’t sell cars u don’t own
but 
u *can* sell stock u don’t own!?
this is bs – sh… https://t.co/vJkf9BqbOD"
147,@RationalEtienne @teslavangelist Yes
148,"@28delayslater Finishing engineering this year, production starts next year. Aiming to have release candidate desig… https://t.co/bFverxpOQU"
149,@PPathole @Grimezsz I made that video!
150,@AOC @RobinhoodApp Absolutely
151,"@NASASpaceflight Unlike its aircraft division, which is fine, the FAA space division has a fundamentally broken reg… https://t.co/sI63AXBJbz"
152,@EvanKaylor Nomad
153,@anbuteau <U+0001F917>
154,The esthetics of Cyberpunk are incredible btw. The interior design is<U+0001F44C>.
155,@TrevorMahlmann @SpaceX Major esthetics improvements coming
156,@teslaownersSV @DMC_Ryan A little
157,@DMC_Ryan New Roadster is part rocket
158,@DMC_Ryan @lafebra @Gfilche There’s more storage now &amp; easily upgradable
159,@avalonpenrose https://t.co/djdZxQ4Maz
160,@Couch_Investor Yes
161,"@24_7TeslaNews @WholeMarsBlog Yeah, probably in a few months"
162,"@WholeMarsBlog After you drive without using a PRND stalk/stick for a few days, it gets very annoying to go back &amp; use a shifter!"
163,"@WholeMarsBlog No more stalks. Car guesses drive direction based on what obstacles it sees, context &amp; nav map. You… https://t.co/6gO7EHq9qy"
164,@avalonpenrose A hedge fund that shorts is a shrubbery
165,@lafebra @Gfilche https://t.co/M0WwQSTAXm
166,"@lafebra @Gfilche Yeah, also a rear screen"
167,0 to 155mph trap speed in a 1/4 mile. 200mph top speed (with right tires).
168,First production car ever to achieve 0 to 60 mph in less than 2 seconds
169,It can play Cyberpunk
170,Plaid Model S ships next month https://t.co/HFUPTnQiPB
171,Even Discord has gone corpo …
172,@Jason Yup. Wild times on Discord haha.
173,https://t.co/F23fxQkBCE
174,@AndyColt2 Waiting for FAA review …
175,"Gamestonk!! 
https://t.co/RZtkDzAewJ"
176,@LabPadre Passed initial pressure test
177,@AdamHoov Yes
178,@PPathole https://t.co/v7cffwac0A
179,Bought a hand knit wool Marvin the Martian helm for my dog
180,https://t.co/gpcvjIBTLM
181,I kinda love Etsy
182,@thesheetztweetz It does not serve the public to hamstring Starlink today for an Amazon satellite system that is at… https://t.co/sNiGKxdXFP
183,@nextspaceflight We’re hoping for FAA approval of a test flight tomorrow afternoon
184,@WholeMarsBlog The entire “stack” from data collection through labeling &amp; inference has to be in surround video. Th… https://t.co/u90Sqjkn8U
185,"@flcnhvy @WholeMarsBlog Yes, although it will be crazy not to turn  on FSD"
186,@WholeMarsBlog Tesla is steadily moving all NNs to 8 camera surround video. This will enable superhuman self-driving.
187,"@naval [Some tyranny]. Also, the road to hell is mostly paved with bad intentions."
188,@levine Catchy! https://t.co/Au32MYF2Rn
189,@Megaconstellati @Aviation_Intel @jetcitystar @larrypress All sats launched next year will have laser links. Only o… https://t.co/CeoFLi8Lzm
190,@Megaconstellati @Aviation_Intel @jetcitystar @larrypress Yup
191,@TeslaGong @teslaownersSV @cleantechnica I hope so
192,"@Tesmanian_com These also have laser links between the satellites, so no ground stations are needed over the poles"
193,@teslaownersSV @cleantechnica Sorry for the version confusion. V8.1 is what it should say for FSD. Separate version number for rest of car.
194,"@cleantechnica To my surprise, Tesla has better AI hardware &amp; software than Waymo (money)"
195,@RicGuccio @teslaownersSV It floats
196,@flcnhvy @boringcompany Fallout-themed opening party for Vegas Loop happening as soon as allowed!
197,@Alex_E_Benton @boringcompany <U+0001F923><U+0001F923>
198,Under Vegas in @boringcompany tunnel yesterday with my boys https://t.co/tLfOuiEdFm
